SDC Deal Number,Company Name,Exit Type,Date Announced / Filed,Date Completed / Issued,Ticker,"Proceeds Amt + Overallot Sold All Markets
(USD)",Acquiror Name,"Rank Value Incl. Net Debt Sum
(USD)","Rank Value Incl. Net Debt Average
(USD)","Rank Value Incl. Net Debt Median
(USD)","M&A Deal Value Average
(USD)","M&A Deal Value Sum
(USD)","M&A Deal Value Median
(USD)","Value of Earnout Average
(USD)","Value of Earnout Sum
(USD)","Value of Earnout Median
(USD)","Purchase Price Average
(USD)","Purchase Price Sum
(USD)","Purchase Price Median
(USD)",Time to Exit (Years),No. of Deals,No. of IPOs,No. of Deals w/ M&A Deal Value,Exit Portfolio Company TRBC Industry Group,Exit Portfolio Company TRBC Industry,Exit Portfolio Company TRBC Economic Sector,Exit Portfolio Company TRBC Business Sector,Exit Portfolio Company TRBC Activity,Exit Date Completed / Issued,"Exit Portfolio Company Nation
('|')",Exit Date Announced / Filed,Exit Date Completed / Issued,Exit Date Completed / Issued,Exit Date Announced / Filed,Exit Date Completed / Issued,Exit Date Completed / Issued,Exit Date Announced / Filed,Exit Date Completed / Issued
154084896916,SSIPL Retail Ltd,IPO,29/09/2011,29/09/2011,N/A,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,1,1,0,Textiles & Apparel,Footwear,Consumer Cyclicals,Cyclical Consumer Products,Footwear (NEC),29/09/2011,India,29/09/2011,29/09/2011,29/09/2011,29/09/2011,29/09/2011,29/09/2011,29/09/2011,29/09/2011
154087268367,Sapphire Foods India Ltd,IPO,06/06/2017,11/11/2021,N/A,279.05,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.9,1,1,0,Hotels & Entertainment Services,Restaurants & Bars,Consumer Cyclicals,Cyclical Consumer Services,Quick Service Restaurants,11/11/2021,India,06/06/2017,11/11/2021,11/11/2021,06/06/2017,11/11/2021,11/11/2021,06/06/2017,11/11/2021
154084948406,Star Health and Allied Insurance Company Ltd,IPO,13/03/2015,02/12/2021,N/A,853.83,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.3,1,1,0,Insurance,Life & Health Insurance,Financials,Insurance,Life & Health Insurance (NEC),02/12/2021,India,13/03/2015,02/12/2021,02/12/2021,13/03/2015,02/12/2021,02/12/2021,13/03/2015,02/12/2021
154087228823,Go Fashion (India) Ltd,IPO,02/07/2021,22/11/2021,N/A,136.19,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.0,1,1,0,Specialty Retailers,Apparel & Accessories Retailers,Consumer Cyclicals,Retailers,Women's Apparel Retailers,22/11/2021,India,02/07/2021,22/11/2021,22/11/2021,02/07/2021,22/11/2021,22/11/2021,02/07/2021,22/11/2021
154084919082,Snapdeal Ltd,IPO,17/06/2014,17/06/2014,N/A,3.32,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.4,1,1,0,Diversified Retail,Discount Stores,Consumer Cyclicals,Retailers,Internet & Mail Order Discount Stores,17/06/2014,India,17/06/2014,17/06/2014,17/06/2014,17/06/2014,17/06/2014,17/06/2014,17/06/2014,17/06/2014
154087414865,Hexagon Nutrition Ltd,IPO,17/12/2021,17/12/2021,N/A,13.16,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.0,1,1,0,Specialty Retailers,Miscellaneous Specialty Retailers,Consumer Cyclicals,Retailers,Health Food Stores,17/12/2021,India,17/12/2021,17/12/2021,17/12/2021,17/12/2021,17/12/2021,17/12/2021,17/12/2021,17/12/2021
154084856183,AGS Transact Technologies Ltd,IPO,28/09/2010,21/01/2022,N/A,91.42,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.8,1,1,0,Professional & Commercial Services,Business Support Services,Industrials,Industrial & Commercial Services,Transaction & Payment Services,21/01/2022,India,28/09/2010,21/01/2022,21/01/2022,28/09/2010,21/01/2022,21/01/2022,28/09/2010,21/01/2022
154087425832,Rainbow Children's Medicare Ltd,IPO,24/12/2021,29/04/2022,N/A,206.67,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.7,1,1,0,Healthcare Providers & Services,Healthcare Facilities & Services,Healthcare,Healthcare Services & Equipment,"Hospitals, Clinics & Primary Care Services",29/04/2022,India,24/12/2021,29/04/2022,29/04/2022,24/12/2021,29/04/2022,29/04/2022,24/12/2021,29/04/2022
154087448792,Imagine Marketing Ltd,IPO,17/01/2022,17/01/2022,N/A,170.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.7,1,1,0,"Computers, Phones & Household Electronics",Phones & Handheld Devices,Technology,Technology Equipment,Personal Music Players,17/01/2022,India,17/01/2022,17/01/2022,17/01/2022,17/01/2022,17/01/2022,17/01/2022,17/01/2022,17/01/2022
154087453493,Ethos Ltd,IPO,21/01/2022,20/05/2022,N/A,51.67,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.4,1,1,0,Specialty Retailers,Apparel & Accessories Retailers,Consumer Cyclicals,Retailers,Jewelry & Watch Retailers,20/05/2022,India,21/01/2022,20/05/2022,20/05/2022,21/01/2022,20/05/2022,20/05/2022,21/01/2022,20/05/2022
