Investee Company Name,Investee Company Nation,Investee Company TRBC Economic Sector,Investment Date,Round Number,Investment Stage,Firm Investor Name,Fund Investor Name,"Investor Equity Total
(USD, Millions)","Disclosed Fund Equity Contribution
(USD, Millions)","Round Equity Total
(USD, Millions)","Disclosed Debt Contribution
(USD, Millions)","Deal Value
(USD, Millions)","Deal Rank Value
(USD, Millions)"
ABG Shipyard Ltd,India,Industrials,2012-06-26,2,PIPE,Nippon Investment & Finance Co Ltd,Nippon Investment and Finance,3,3,3,0,0,3
Abhay Cotex Pvt Ltd,India,Consumer Cyclicals,2011-08-10,1,Expansion,Small Enterprise Assistance Funds,SEAF India Agribusiness Fund,6,6,6,0,0,6
Abhi Loans,India,Technology,2022-08-16,1,Expansion,Dmi Alternatives Pvt Ltd,DMI Alternative Investments Sparkle Fund,0,0,0,0,0,0
Abhi Loans,India,Technology,2022-08-16,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
Abhi Loans,India,Technology,2022-08-16,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
Abita Innovations Pvt Ltd,India,Healthcare,2024-10-08,2,Expansion,Alpha Wave Global LP,Alpha Wave Global LP - Unspecified Fund,2,0,6,0,0,6
Abita Innovations Pvt Ltd,India,Healthcare,2024-10-08,2,Expansion,Chiratae Ventures India Advisors Pvt Ltd,Chiratae Ventures India Advisors Pvt Ltd - Unspecified Fund,2,0,6,0,0,6
Abita Innovations Pvt Ltd,India,Healthcare,2024-10-08,2,Expansion,Peak Xv Partners,Peak XV Partners - Unspecified Fund,2,0,6,0,0,6
ACB (India) Ltd,India,Energy,2006-03-03,1,Expansion,Warburg Pincus LLC,"Warburg Pincus Private Equity IX, L.P.",1,1,1,0,0,1
ACB (India) Ltd,India,Energy,2007-04-13,2,Expansion,Warburg Pincus LLC,"Warburg Pincus Private Equity IX, L.P.",1,1,1,0,0,1
Accelerated Learning Edutech Pvt Ltd,India,Academic & Educational Services,2020-09-10,2,Expansion,SARA Investments,SARA Investments,1,1,1,0,0,1
Accelero Vehicles India Pvt Ltd,India,Consumer Cyclicals,2022-02-24,1,Expansion,LetsVenture Technologies Pvt Ltd,LetsVenture Technologies Pvt Ltd - Unspecified Fund,0,0,0,0,0,0
Accelero Vehicles India Pvt Ltd,India,Consumer Cyclicals,2022-02-24,1,Expansion,Social Alpha,Social Alpha - Unspecified Fund,0,0,0,0,0,0
Accelyst Solutions Pvt Ltd,India,Technology,2012-01-24,2,Expansion,Peak Xv Partners,Peak XV Partners - Unspecified Fund,4,4,4,0,0,4
Accelyst Solutions Pvt Ltd,India,Technology,2014-08-22,3,Acquisition for Expansion,Peak Xv Partners,Peak XV Partners - Unspecified Fund,11,0,33,0,0,33
Accelyst Solutions Pvt Ltd,India,Technology,2014-08-22,3,Acquisition for Expansion,Rtp Global Uk Ltd,ru-Net Ventures - Unspecified Fund,11,0,33,0,0,33
Accelyst Solutions Pvt Ltd,India,Technology,2014-08-22,3,Acquisition for Expansion,Undisclosed Firm,Undisclosed Fund,11,0,33,0,0,33
Accelyst Solutions Pvt Ltd,India,Technology,2015-02-06,4,Expansion,Peak Xv Partners,Peak XV Partners - Unspecified Fund,16,0,80,0,0,80
Accelyst Solutions Pvt Ltd,India,Technology,2015-02-06,4,Expansion,Rtp Global Uk Ltd,ru-Net Ventures - Unspecified Fund,16,0,80,0,0,80
Accelyst Solutions Pvt Ltd,India,Technology,2015-02-06,4,Expansion,Undisclosed Firm,Undisclosed Fund,16,0,80,0,0,80
Accelyst Solutions Pvt Ltd,India,Technology,2015-02-06,4,Expansion,Undisclosed Firm,Undisclosed Fund,16,0,80,0,0,80
Accelyst Solutions Pvt Ltd,India,Technology,2015-02-06,4,Expansion,Undisclosed Firm,Undisclosed Fund,16,0,80,0,0,80
Accentia Technologies Ltd (CN),India,Healthcare,2009-06-29,1,PIPE,Berggruen Holdings Ltd,"Berggruen Holdings, Inc. - Unspecified Fund",0,0,0,0,0,0
Accentia Technologies Ltd (CN),India,Healthcare,2012-02-27,2,Pending Acquisition,Berggruen Holdings Ltd,"Berggruen Holdings, Inc. - Unspecified Fund",0,0,0,0,3,3
Accentia Technologies Ltd (CN),India,Healthcare,2012-02-27,2,Pending Acquisition,Undisclosed Firm,Undisclosed Fund,0,0,0,0,3,3
Accentia Technologies Ltd (CN),India,Healthcare,2012-02-27,2,Pending Acquisition,Undisclosed Firm,Undisclosed Fund,0,0,0,0,3,3
Accerank Softwares Pvt Ltd,India,Technology,2021-08-04,1,Expansion,Liquid 2 Ventures LP,"Liquid 2 Ventures, L.P.- Unspecified Fund",0,0,2,0,0,2
Accerank Softwares Pvt Ltd,India,Technology,2021-08-04,1,Expansion,Pioneer Fund,Pioneer Fund,0,0,2,0,0,2
Accerank Softwares Pvt Ltd,India,Technology,2021-08-04,1,Expansion,Rebel Management LLC,Rebel Fund LLC,0,0,2,0,0,2
Accerank Softwares Pvt Ltd,India,Technology,2021-08-04,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,2,0,0,2
Accerank Softwares Pvt Ltd,India,Technology,2021-08-04,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,2,0,0,2
Accerank Softwares Pvt Ltd,India,Technology,2021-08-04,1,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,2,0,0,2
Acculi Labs Pvt Ltd,India,Healthcare,2024-08-01,2,Expansion,Undisclosed Firm,Undisclosed Fund,2,0,2,0,0,2
Accutest Research Lab I Pvt Ltd,India,Healthcare,2006-07-19,1,Expansion,"Aureos Capital, Ltd.","Aureos Capital, Ltd. - Unspecified Fund",4,4,4,0,0,4
Accutest Research Lab I Pvt Ltd,India,Healthcare,2010-09-28,2,Acquisition,Greater Pacific Capital Llp,Greater Pacific Capital I,0,0,0,0,0,0
Ace Refractories,India,Basic Materials,2005-09-30,1,LBO,ICICI Venture Funds Management Company Ltd,India Advantage Fund Series 1,0,0,0,0,0,0
Ace Turtle Pte Ltd,India,Consumer Cyclicals,2017-05-08,1,Expansion,C31 Ventures Pte Ltd,C31 Ventures - Unspecified Fund,3,0,5,0,0,5
Ace Turtle Pte Ltd,India,Consumer Cyclicals,2017-05-08,1,Expansion,Vertex Ventures Us Fund I LP,Vertex Ventures - Unspecified Fund,3,0,5,0,0,5
Ace Turtle Pte Ltd,India,Consumer Cyclicals,2017-09-22,2,Bridge Loan,Innoven Capital India Pvt Ltd,InnoVen Capital- Unspecified Fund,0,0,0,0,0,0
Achindra Online Marketing Pvt Ltd,India,Consumer Cyclicals,2013-11-18,2,Expansion,Axon Partners Group Investment SGEIC,India Opportunities Fund I,0,0,0,0,0,0
Achindra Online Marketing Pvt Ltd,India,Consumer Cyclicals,2013-11-18,2,Expansion,Forum Synergies India Pe Fund Managers Pvt Ltd,Forum Synergies - Unspecified Fund,0,0,0,0,0,0
Achindra Online Marketing Pvt Ltd,India,Consumer Cyclicals,2013-11-18,2,Expansion,Undisclosed Firm,Undisclosed Fund,0,0,0,0,0,0
ACKO Technology & Services Pvt Ltd,India,Financials,2022-02-10,6,Expansion,Canada Pension Plan Investment Board,Canada Pension Plan Investment Board - Unspecified Fund,42,0,255,0,0,255
ACKO Technology & Services Pvt Ltd,India,Financials,2022-02-10,6,Expansion,General Atlantic LLC,General Atlantic LLC - Unspecified Fund,42,0,255,0,0,255
