"investee_company_name","investee_company_nation","investee_company_trbc_economic_sector","investment_date","round_number","investment_stage","firm_investor_name","fund_investor_name","investor_equity_total_usd_millions","disclosed_fund_equity_contribution_usd_millions","round_equity_total_usd_millions","disclosed_debt_contribution_usd_millions","deal_value_usd_millions","deal_rank_value_usd_millions","investment_year","sector","stage","company","deal_value","stage_category"
"9X Media Pvt., Ltd.","India","Consumer Cyclicals",2007-03-15,1,"Acquisition","Temasek Holdings Pvt Ltd","Temasek Capital - Direct Investment Fund",0,0,0,0,300,300,2007,"Consumer Cyclicals",1,"9X Media Pvt., Ltd.",0,"Other"
"9X Media Pvt., Ltd.","India","Consumer Cyclicals",2010-06-01,2,"Pending Acquisition","New Silk Route Partners LLC","New Silk Route PE Asia Fund, L.P.",0,0,0,0,20,20,2010,"Consumer Cyclicals",2,"9X Media Pvt., Ltd.",0,"Other"
"A K Capital Services Ltd","India","Financials",2007-10-14,1,"PIPE","RMB Corvest (Pty) Limited","RMB Ventures Fund",0,0,9,0,0,9,2007,"Financials",1,"A K Capital Services Ltd",0,"Other"
"A K Capital Services Ltd","India","Financials",2007-10-14,1,"PIPE","Undisclosed Firm","Undisclosed Fund",9,0,9,0,0,9,2007,"Financials",1,"A K Capital Services Ltd",9,"Other"
"A Little World Pvt  Ltd","India","Financials",2007-03-14,1,"Expansion","Legatum Capital","Legatum Capital- Unspecified Fund",2,2,2,0,0,2,2007,"Financials",1,"A Little World Pvt  Ltd",2,"Other"
"A&A Dukaan Financial Services Pvt Ltd","India","Technology",2011-03-18,1,"Expansion","Walden International","Walden International - Unspecified Fund",6,6,6,0,0,6,2011,"Technology",1,"A&A Dukaan Financial Services Pvt Ltd",6,"Other"
"A&A Dukaan Financial Services Pvt Ltd","India","Technology",2014-01-14,2,"Expansion","Sequoia Capital Operations LLC","Sequoia Capital - Unspecified Fund",7,0,13,0,0,13,2014,"Technology",2,"A&A Dukaan Financial Services Pvt Ltd",7,"Other"
"A&A Dukaan Financial Services Pvt Ltd","India","Technology",2014-01-14,2,"Expansion","Walden International","Walden International - Unspecified Fund",7,0,13,0,0,13,2014,"Technology",2,"A&A Dukaan Financial Services Pvt Ltd",7,"Other"
"A&A Dukaan Financial Services Pvt Ltd","India","Technology",2015-07-02,3,"Expansion","Eight Roads Services (UK) Ltd","Eight Roads Capital Advisors (Hong Kong) Ltd - UF",12,0,60,0,0,60,2015,"Technology",3,"A&A Dukaan Financial Services Pvt Ltd",12,"Other"
"A&A Dukaan Financial Services Pvt Ltd","India","Technology",2015-07-02,3,"Expansion","Sequoia Capital Operations LLC","Sequoia Capital - Unspecified Fund",12,0,60,0,0,60,2015,"Technology",3,"A&A Dukaan Financial Services Pvt Ltd",12,"Other"
"A&A Dukaan Financial Services Pvt Ltd","India","Technology",2015-07-02,3,"Expansion","Undisclosed Firm","Undisclosed Fund",12,0,60,0,0,60,2015,"Technology",3,"A&A Dukaan Financial Services Pvt Ltd",12,"Other"
